Sector,HI_E,HI_V,CI_E,CI_V,BI_E,BI_V
390,3.9603960396039604,0,1.7391304347826086,0,3.9603960396039604,0
400,7.142857142857142,9.803921568627452,2.2556390977443606,4.166666666666666,7.142857142857142,9.803921568627452
401,8.695652173913043,4.545454545454546,4.25531914893617,1.9230769230769231,8.695652173913043,4.545454545454546
403,5.88235294117647,7.246376811594203,2.1739130434782608,3.1578947368421053,5.88235294117647,8.695652173913043
444,4.761904761904762,0,2.923976608187134,0,7.936507936507936,0
500,10.204081632653061,0,3.205128205128205,0,10.204081632653061,0
513,0,0,0,0,0,0
540,14.084507042253522,12,4.564315352697095,5.357142857142857,15.492957746478872,12
569,19.51219512195122,0,3.826530612244898,0,36.58536585365854,0
835,4.761904761904762,0,2.923976608187134,0,7.936507936507936,0
1305,10,0,3.076923076923077,0,8,0
